1,"$10\,000 Gold?",Steigt Gold auf 10.000 Dollar?
37568,But why did these disparities arise in the first place?,"In der Tat stellen fortgesetztes Wachstum und die Schaffung von Arbeitsplätzen die einzige wirkliche Lösung dar\, um Hunderten Millionen von Chinesen dauerhaft aus der Armut zu helfen."
128,"While improving access to finance is vital\, governments also need to do more to boost investment.","Ein verbesserter Zugriff auf Finanzmittel ist lebenswichtig\, aber die Regierungen müssen außerdem mehr tun\, um die Investitionen zu steigern."
37569,"Thirty years ago\, 80% of China’s labor force was composed of farmers.",Chinas beunruhigender Nationalismus
25258,"In fact\, putting up a wind turbine cuts no extra CO2\, because total emissions are already capped under the EU-wide carbon-trading scheme.","Und uneingeschränkter Spitzenreiter ist die Solarenergie mit Kosten in Höhe von 800 US-Dollar pro Tonne CO2 und einem positiven Nutzen\, der weniger als einen Cent pro ausgegebenem Dollar wert ist."
12757,CAMBRIDGE – The United States appears trapped in a dangerous economic stalemate.&#160; The refusal by both Republicans and Democrats to give ground on the budget is preventing the government from dealing with its massive fiscal deficit and rapidly rising national debt.,"CAMBRIDGE – Die Vereinigten Staaten scheinen in eine gefährliche wirtschaftliche Sackgasse geraten zu sein. Sowohl die Republikaner als auch die Demokraten weigern sich\, im Haushaltsstreit von ihrer Position abzurücken und hindern die Regierung daran\, sich ihrem massiven Haushaltsdefizit und der rasch wachsenden Staatsverschuldung anzunehmen."
25259,"It simply means that when Great Britain installs a wind turbine\, it becomes cheaper to burn coal in Portugal or Poland.",Diese Preise betreffen nicht nur Europa.
37570,"But\, while that figure is down now to about 30%\, rural education has continued to suffer from inadequate funding and human capital relative to urban\, industrializing regions.",Der Nationalismus nimmt in China seit einem Jahrzehnt beständig zu.
129,"They should prioritize measures to make it easier to start a business\, lift barriers to venture capital\, and introduce temporary 100% capital allowances to encourage businesses to bring forward investment.","Sie sollten Maßnahmen priorisieren\, um Unternehmen zu starten\, Barrieren für den Zugang zu Wagniskapital abbauen und vorübergehend Abschreibungen in Höhe von 100% zulassen\, um die Unternehmen zu ermutigen\, Investitionen vorzuziehen."
12758,"Indeed\, the Congressional Budget Office projects that the national debt could increase to 82% of GDP over the next ten years – more than double the debt ratio as recently as 2008.",Prognosen des parteiunabhängigen Rechnungsamtes des Kongresses (CBO) zufolge könnte die Staatsverschuldung in den kommenden zehn Jahren auf 82% des BIP steigen – eine mehr als doppelt so hohe Schuldenquote wie noch im Jahr 2008.
37571,That caused rising inequality between the urban privileged and the rural poor.,"Er wird vielleicht vor Präsident Bush bei seinem Besuch im nächsten Monat verborgen\, aber er ist dennoch existent."
25260,"Taking into account such poor policies and averaging all macroeconomic models\, the EU is more likely to pay around $280 billion per year to avert $10 billion in damage.","China bezahlt beispielsweise 38 Dollar für jede Tonne CO2\, die durch Windenergie vermieden wird\, während die USA ungefähr 600 Dollar ausgeben\, um eine Tonne CO2 durch Biokraftstoffe zu vermeiden."
12759,"That forecast\, moreover\, is based on quite optimistic assumptions of strong economic growth and low interest rates.","Hinzukommt\, dass diese Prognose auf ziemlich optimistischen Annahmen beruht und von einem starken Wirtschaftswachstum und niedrigen Zinsen ausgeht."
25261,"In other words\, the poor design of EU climate policies triples the cost and prevents only three cents of climate damage per dollar spent.","Wenn die EU beschließt\, ihre internen Emissionen zu verringern\, wandert ein Teil dieser Reduktion obendrein einfach anderswohin."
130,"At the EU level\, the (callable) capital of the European Investment Bank should be greatly increased\, as European Commission President José Manuel Barroso suggested in his State of the Union speech last September\, so that the EIB can finance a big wave of pan-European investment\, notably in infrastructure.","Auf EU-Ebene sollte das (abrufbare) Kapital der Europäischen Investitionsbank stark erhöht werden\, wie es der Präsident der Europäischen Kommission\, José Manuel Barroso\, in seiner Rede zur Lage der Union im vergangenen September vorgeschlagen hat\, damit die EIB eine große Welle europaübergreifender Investitionen insbesondere im Bereich der Infrastruktur finanzieren kann."
12760,"With slower growth and more normal interest rates\, the debt ratio could easily rise to more than 100% in 2021\, and exceed 150% by 2030.",Bei langsamerem Wachstum und normaleren Zinsen könnte die Schuldenquote bis zum Jahr 2021 leicht auf über 100% steigen und bis zum Jahr 2030 150% übersteigen.
131,Boosting exports is also essential.,Eine Ankurbelung des Exports ist ebenfalls von zentraler Bedeutung.
25262,"But it gets worse\, because these models still assume that the EU picks the cheapest renewables to fulfill its requirements.","Wenn die Herstellung eines Produktes in der EU aufgrund der höheren Energiekosten teurer ist\, wird das Produkt wahrscheinlich an einem anderen Ort hergestellt\, wo Energie billiger ist und anschließend in die EU importiert."
37572,Geographical differences and government social policies that have been more favorable to urban and industrial sectors may be also be to blame.,"Zwischen 1993 und 2001 ist die Atmosphäre durch eine Serie von unglücklichen Ereignissen vergiftet worden: der erzwungene Zutritt zu einem chinesischen Handelsschiffs im Arabischen Golf (man hatte fälschlicherweise angenommen\, dass auf ihm Komponenten für chemische Waffen in den Iran transportiert würden)\, die Opposition der USA gegen China als Austragungsort der Olympischen Spiele 2000\, die eskalierenden Spannungen in Bezug auf Taiwan\, die Wen Ho Lee - Affäre (als China irrtümlicherweise mit dem Diebstahl von amerikanischen Nuklear-Geheimnissen in Zusammenhang gebracht wurde)\, die versehentliche Bombardierung der chinesischen Botschaft durch US-Kampfflugzeuge im Kosovo-Krieg und die Kollision eines Spionageflugzeugs und eines chinesischen Düsenjägers im letzten Jahr."
132,"Deficit countries need to become more competitive\, increasing productivity while cutting costs.",Die Defizitländer müssen konkurrenzfähiger werden und bei gleichzeitiger Senkung ihrer Kosten die Produktivität steigern.
12761,A major reason for the accelerating growth in government debt is America’s rapidly aging population and the resulting increase in the cost of the universal pension and health-care programs – Social Security and Medicare.,Ein Hauptgrund für das Anwachsen der Staatsverschuldung ist Amerikas rasch alternde Bevölkerung und die daraus resultierenden steigenden Kosten für die öffentlichen Renten- und Krankenversicherungen – Social Security und Medicare.
25263,"Instead\, most EU countries give higher subsidies to the most costly renewables.","Tatsächlich zeigen neue Studien\, dass 38% der EU-Emissionssenkungen anderswohin verlagert werden\, was bedeutet\, dass durch die Klimapolitik der EU nicht drei Cent an Klimaschäden pro ausgegebenem Dollar vermieden werden\, sondern weniger als zwei Cent."
37573,But the most fundamental problem is that development does not take place overnight.,"""Diese Anhäufung von Ereignissen rief bittere Erinnerungen an den westlichen Imperialismus des 19. Jahrhunderts wach\, als \""fremde Teufel\"" China unterwarfen\"," erniedrigten und rücksichtslos über ein einst stolzes Volk hinweggingen."""
25264,"For example\, cutting a ton of CO2 with on-shore wind turbines in Germany probably costs about $35\, avoiding about 14 cents of climate damage per dollar.",Von 1990 bis 2008 hat die EU ihre Emissionen um etwa 270 Millionen Tonnen CO2 verringert.
12762,Most experts believe that limiting the rise in debt will require slowing the growth of these “entitlement” programs and increasing taxes as a share of GDP.,"Die meisten Experten gehen davon aus\, dass das Wachstum dieser „Berechtigungsprogramme“ gebremst und das Steueraufkommen gemessen am BIP erhöht werden muss\, um die steigende Verschuldung zu bremsen."
133,"A more competitive currency would be welcome: just as the sterling’s collapse since 2008 has lifted UK exports\, a weaker euro would help Mediterranean economies regain competitiveness for price-sensitive exports.","Eine konkurrenzfähigere Währung wäre zu begrüßen: Genau wie der Zusammenbruch des Pfund Sterling seit 2008 die britischen Exporte erhöht hat\, würde ein schwächerer Euro den Volkswirtschaften des Mittelmehrraums helfen\, bei preissensiblen Exporten wieder konkurrenzfähiger zu werden."
37574,It takes a long time to bring education and better-paid jobs to everyone.,"""Das Echo vergangener Erniedrigungen klingt in einem Schwall von populären antiamerikanischen Büchern nach\, die in den letzten zehn Jahren unter so aufrührerischen Titeln wie \""China lässt sich nicht einschüchtern!\""\"," \""Die bösen Pläne Amerikas\"" und \""Ein China\"," das NEIN sagen kann\"" veröffentlicht wurden."""
25265,"But offshore wind turbines cost about $150 per ton of CO2\, avoiding just three cents of climate damage per dollar.","Es stellt sich allerdings heraus\, dass der Anstieg der Einfuhren aus China allein zusätzliche Emissionen außerhalb der EU in nahezu gleichem Umfang verursacht hat."
134,A fiscal devaluation – slashing payroll taxes and replacing the revenues with a higher VAT – would also help.,Eine Abwertung über die Finanzpolitik – durch drastische Senkung der Lohnsteuer und Sozialversicherungsbeiträge und Ersetzung dieser Einnahmen durch eine höhere Mehrwertsteuer – würde ebenfalls helfen.
12763,"But President Barack Obama and the congressional Democrats oppose any reduction in future entitlement programs\, while the Republican presidential candidates and their party’s congressional delegation oppose any increase in tax revenues.","Doch Präsident Barack Obama und die Demokraten im Kongress lehnen jegliche Kürzung zukünftiger Berechtigungsprogramme ab\, während die Präsidentschaftskandidaten der Republikaner und die Kongressabgeordneten ihrer Partei jegliche Erhöhung von Steuerabgaben ablehnen."
37575,"During this long period\, some get rich first\, which means that others lag behind.","In diesen und anderen Bestsellern wurde guochi - die Erniedrigung der Nation\, eine Idee aus dem 19. Jahrhundert\, heraufbeschworen\, um Chinas gerechtfertigte Verärgerung über die tyrannischen Imperialisten auszudrücken."
135,"Surplus countries\, too\, must do their part\, which is in their own interest.","Auch die Überschussländer müssen ihr Teil beitragen\, auch im eigenen Interesse."
25266,"Biofuels are even less efficient\, costing more than $300 per ton of CO2 avoided\, while doing just over one cent of good per dollar.",Im Grunde genommen hat die EU einfach einen Teil ihrer Emissionen ins Ausland verschifft.
12764,The result is the current stalemate in reducing the fiscal deficit and reversing the growth of the national debt.,Das Resultat ist die aktuelle Pattsituation bei der Verringerung des Haushaltsdefizits und der Umkehr der wachsenden Staatsverschuldung.
37576,"Thirty years of rapid growth brought only half of China’s famers (about 200 million people) into the industrial or service sectors\, where their wages doubled.","Es handelte sich hierbei nicht um einen Propaganda-Trick\, wie mancherorts vermutet wurde."
25267,"And solar takes the absolute prize\, costing more than $800 per ton of CO2 to do less than a cent of good per dollar spent.","Abschließend bleibt zu sagen\, dass die negativen Auswirkungen schlechter Klimapolitik nicht nur finanzieller Natur sind."
136,"Just as China needs to allow the renminbi to rise\, so Germany – whose current-account surplus exceeds Chinas both as a share of GDP and in absolute terms – needs a higher real exchange rate.","Ganz so\, wie China eine Aufwertung des Renminbi zulassen muss\, braucht Deutschland – dessen Leistungsbilanzüberschuss den Chinas sowohl als Anteil vom BIP und absolut gesehen übersteigt – einen höheren realen Wechselkurs."
12765,Republicans argue that the national debt’s growth should be limited only by cutting government spending.,"Die Republikaner vertreten die Ansicht\, dass die wachsende Staatsverschuldung allein durch die Kürzung von Staatsausgaben eingedämmt werden sollte."
37577,"But at least another 150 million famers are still coming into the labor market\, competing for higher-paying jobs.","Die Wiederbelebung des guochi wurde zwar von der Regierung angestoßen\, fand aber seine Resonanz in der chinesischen Gesellschaft."
25268,These prices are not unique to Europe.,"Biokraftstoffe\, für die die EU allein inzwischen über 10 Milliarden Dollar jährlich ausgibt\, um damit Gutes im Wert von weniger als einem Cent pro ausgegebenem Dollar zu bewirken\, nehmen Anbauflächen in Anspruch\, die sonst für die Produktion von Nahrungsmitteln genutzt worden wären."
137,"That means that Germans need to earn higher wages\, commensurate with their increased productivity\, so that they can afford more Greek and Spanish holidays.","Dies bedeutet\, dass die deutschen Löhne und Gehälter entsprechend der höheren Produktivität in Deutschland steigen müssen\, sodass sich die Deutschen mehr Urlaube in Griechenland und Spanien leisten können."
138,"If businesses will not oblige\, an income-tax cut would do the trick.","Wenn die Unternehmen dabei nicht mitmachen\, würde auch eine Einkommensteuersenkung funktionieren."
37578,"The old generation of farmers may stay put\, but younger generations will continue to leave the land\, creating a seemingly infinite supply of labor\, which suppresses wages in all industries and services for lower-educated workers.","Eine Umfrage unter mehr als 1200 Universitätsstudenten in Peking ergab\, dass ganze 75% der durchaus gebildeten Befragten der Meinung waren\, dass die Bombardierung der Botschaft von der US-Regierung beabsichtigt gewesen sei."
25269,"China pays $38 per ton of CO2 avoided with wind power\, for example\, while the US pays around $600 for cutting a ton of CO2 with biofuels.","Das bedeutet\, dass die Nahrungsmittelproduktion an andere Orte verlagert wird; oftmals auf landwirtschaftliche Flächen\, die durch die Abholzung von Waldbeständen geschaffen wurden\, wodurch zusätzlich CO2 freigesetzt und die biologische Vielfalt geschädigt wird."
139,That brings us to fiscal policy.,Dies bringt uns zur Fiskalpolitik.
12766,"Although some cuts in traditional outlays should be part of efforts to rein in spending\, this approach should be supplemented by reducing “tax expenditures” – the special features of the tax code that subsidize health care\, mortgage borrowing\, local-government taxes\, etc..","Es sollten zwar hier und da Kürzungen der traditionellen Ausgaben in die Bemühungen einfließen\, die Staatsausgaben im Zaum zu halten\, doch dieser Ansatz sollte um eine Verringerung der „Steuervergünstigungen“ ergänzt werden – die Besonderheiten der US-Abgabenordnung\, durch die Gesundheitsvorsorge\, die Aufnahme von Hypothekendarlehen\, die Abgaben von Kommunalregierungen etc. subventioniert werden."
37579,"As a result\, the income of almost 70% of the labor force cannot increase as fast as their labor productivity\, and average household income thus cannot grow as fast as the economy as a whole.",Am Ende der Dekade hielt die Mehrheit der chinesischen Bevölkerung Amerika für ihren größten Feind.
140,Governments that cannot borrow cheaply (or at all) from markets have no option but to tighten their belts.,"Regierungen\, die auf dem Markt nicht günstig (oder überhaupt nicht) an Kredite kommen\, haben keine andere Wahl\, als den Gürtel enger zu schnallen."
25270,"Moreover\, when the EU decides to cut its domestic emissions\, part of the reduction simply migrates elsewhere.","So werden auch die Lebensmittelpreise in die Höhe getrieben\, was bislang mindestens 30 Millionen Arme in den Hunger gestürzt hat und voraussichtlich weitere 40-130 Millionen bis zum Jahr 2020 Hunger leiden lassen wird."
37580,"Given China’s massive stock of “surplus labor\,” this trend will not reverse itself soon.",Vor diesem Hintergrund reagierten nicht wenige Chinesen auf die Ereignisse des 11. September mit kaum verhüllter Genugtuung.
141,But they should pursue smart consolidation rather than unthinking austerity.,Aber sie sollten statt tumber Sparmaßnahmen eine intelligente Konsolidierung verfolgen.
12767,"Limiting tax expenditures could reduce the annual deficit by as much as 2% of GDP\, thereby reducing the debt-to-GDP ratio in 2021 by more than 25 percentage points.",Einschränkungen der Steuersubvention könnten den Jahresfehlbetrag um bis zu 2% des BIP verringern und somit die Schuldenquote im Jahr 2021 um über 25 Prozentpunkte sinken lassen.
25271,"If making a product in the EU costs more because of higher energy costs\, the product will likely be made somewhere else\, where energy is cheaper\, and then imported into the EU.","Wir brauchen einen intelligenteren Ansatz\, um den Klimawandel zu bekämpfen."
142,"So they should maintain investment in skills and infrastructure\, while cutting subsidies and transfer payments.","So sollten sie ihre Investitionen in Fertigkeiten und Infrastruktur aufrecht erhalten\, Subventionen und Transferleistungen dagegen abbauen."
12768,"Republicans generally reject this form of spending reduction\, because it results in additional tax revenue.","Republikaner lehnen diese Form der Ausgabenkürzung generell ab\, da sie sich in zusätzlichem Steueraufkommen niederschlägt."
37581,"Indeed\, the situation may worsen for another decade or two before it improves.","""Gleichermaßen besorgniserregend war auch der fast schon hysterische Ton vieler chinesischer Internet-Nutzer nach dem EP-3-Vorfall im April 2001\, als Websites und Chatrooms förmlich mit Forderungen überflutet wurden\, Amerika möge eine \""blutige Schuld\"" für den Märtyrertod des Kampfpiloten Wang Wei zahlen."""
143,"They should also legislate now for future reforms\, notably to encourage people to work longer.","Sie sollten außerdem jetzt die gesetzlichen Grundlagen für künftige Reformen schaffen\, insbesondere um die Menschen zu ermutigen\, länger zu arbeiten."
25272,"In fact\, new studies show that 38% of the EU carbon cuts leak elsewhere\, meaning that European climate policy avoids not three cents of climate damage per dollar spent\, but less than two.","Anstatt jetzt darauf zu setzen\, ein paar Tonnen unglaublich überteuertes CO2 zu reduzieren\, müssen wir in Forschung und Entwicklung investieren\, die darauf abzielt\, die Kosten für erneuerbare Energien durch Innovationen langfristig so weit zu senken\, dass alle umsteigen werden."
37582,This is why the government wants to intervene.,Im besten Stil des selbstgerechten Zorns des guochi unterhielten drei junge chinesische Männer den folgenden Dialog im Internet:
12769,"While this method does indeed increase total revenue\, the economic effect of limiting tax expenditures is the same as it is under any other method of cutting spending on those programs.","Diese Methode führt zwar tatsächlich zu einer Erhöhung der öffentlichen Einnahmen insgesamt\, aber das wirtschaftliche Resultat einer Begrenzung der Steuervergünstigungen ist das gleiche wie bei jeder anderen Methode der Ausgabenkürzung für diese Programme."
25273,"From 1990 to 2008\, the EU cut its emissions by about 270 million metric tons of CO2.","Unsere derzeitigen klimapolitischen Maßnahmen sind mangelhaft – und unsere Politiker finden immer wieder Wege\, sie noch unzulänglicher werden zu lassen."
144,"Last but not least\, governments that can borrow at unprecedentedly low rates – 0% in real terms over 10 years in the case of Germany – must play their role in supporting demand.","Und schließlich sollten Länder\, die zu beispiellos niedrigen Zinsen Geld aufnehmen können – zu 0% Realverzinsung über zehn Jahre im Falle Deutschlands – ihre Rolle bei der Stützung der Nachfrage spielen."
37583,"In recent years\, the central government has increased its spending on rural compulsory education and poverty relief\, and local governments have changed regulations to increase the minimum wage by 20-30% in all 30 provinces.",Gerechter Adler: Die USA haben ein paar schändliche Worte geäußert und unsere Regierung hat 24 Schweine rausgelassen ....
12770,But the Republicans’ opposition to anything that raises revenue means that this key to breaking the budget stalemate won’t be implemented.,"Doch der Widerstand der Republikaner gegen alles\, was zu einer Erhöhung der Staatseinnahmen führt\, bedeutet\, dass dieser Schlüssel für einen Ausweg aus der Sackgasse im Haushaltsstreit nicht zum Einsatz kommen wird."
145,Would it be really be so difficult to see VAT coming down ahead of the German election next year?,Ist für Deutschland eine Mehrwertsteuersenkung vor den Bundestagswahlen im kommenden Jahr wirklich so schwer vorstellbar?
37584,"In the next five years\, more efforts in that direction are planned.","Auf der Oberfläche sieht es so aus\, als hätten sich die USA bei China entschuldigt\, aber welche Verpflichtungen sind sie wirklich eingegangen?"
25274,But it turns out that the increase in imports from China alone implied an almost equal volume of extra emissions outside the EU.,"Es kann sein\, dass sie Landwirte und andere Interessengruppen zufriedenstellen\, aber unterm Strich treiben sie einfach die Kosten in die Höhe und verringern den ohnehin minimalen Nutzen."
146,Is Iraq the Next Afghanistan?,Ist der Irak das nächste Afghanistan?
37585,The social-security system is to be extended to cover all workers and farmers.,Sie haben sich auf nichts eingelassen....
25275,"Essentially\, the EU had simply shipped part of its emissions offshore.",Das Problem mit der universalen Schulausbildung
147,"At the onset of the US-led war in Iraq\, two competing views shaped predictions about the outcome.",Zu Beginn des Irak-Kriegs unter US-Führung bildeten sich zwei konkurrierende Voraussagen über sein Ergebnis.
12771,The budget cost of Social Security pensions could be gradually reduced by substituting annuities generated by investment-based personal retirement accounts for part of the current tax-financed benefits.,"Die Ausgaben\, die im Staatshaushalt für die öffentliche Rentenversicherung vorgesehen sind\, könnten schrittweise reduziert werden\, indem die gegenwärtigen steuerfinanzierten Vergünstigungen teilweise durch Jahresrenten ersetzt werden\, die durch persönliche Aktiensparpläne für den Ruhestand gebildet werden."
25276,"Finally\, the negative effects of poor climate policies are not just financial.","KOPENHAGEN – Während die Frist für die Millennium-Entwicklungsziele der Vereinten Nationen schnell näher rückt\, beeilt sich die Welt\, für die nächsten fünfzehn Jahre neue Ziele aufzustellen."
37586,"Fiscal and taxation reform is to be accelerated in order to transfer more income from the corporate sector to households and public budgets for social programs\, including low-rent housing for the urban poor and more and better services for new immigrants from rural areas.",Wer soll das schlucken?
37587,But none of this will solve the problem.,Wir müssten eine Blutschuld festlegen und lassen diese Teufel stattdessen einfach nach Hause gehen?
148,The first contended that overthrowing Saddam Husseins regime would usher in a democratic era in Iraq that would serve as a model and catalyst for democratic change regionally.,"Die erste behauptete\, der Sturz des Saddam Hussein Regimes dürfte im Irak eine Ära der Demokratie einleiten\, die als Modell und Katalysator für die demokratische Umgestaltung der Region dienen würde."
12772,"But even though such a reform could maintain income levels for retirees\, Democrats oppose it\, because it lowers traditional government benefits.","Obwohl das Einkommensniveau von Ruheständlern durch eine solche Reform gehalten werden könnte\, sind die Demokraten dagegen\, weil sie einen Abbau traditionell staatlicher Leistungen bedeutet."
25277,"Biofuels\, for which the EU alone is now paying more than $10 billion annually to do less than one cent of good for every dollar spent\, also take up fields that otherwise would have produced food.",Angesichts begrenzter Ressourcen müssen sich Politiker und internationale Organisationen fragen: Wo können wir am meisten Gutes bewirken?
12773,This reinforces the stalemate.,Die Pattsituation wird so gefestigt.
37588,The best a government plan can do is to prevent the worst.,"Güte: ....Meine WEB-Genossen\, wie können wir den Märtyrern gegenübertreten\, die in den letzten Jahrhunderten für den Selbstrespekt unserer Nation und die Stärkung des Landes gekämpft haben?"
12774,The two parties’ hardline stances anticipate the upcoming congressional and presidential elections in November 2012.,Die kompromisslose Haltung der beiden Parteien ist ein Vorgeschmack auf die Kongress- und Präsidentschaftswahlen im November 2012.
37589,"Government subsidies may (temporarily) redress income disparity in a developed country where farmers account only for 2% of the labor force\, or in a country in which low-income groups count for only 10% of the total population.",Wie können wir unseren Ahnen begegnen?
25278,"That means that food production moves elsewhere\, often to farmland created by cutting down forests\, which releases more CO2 and damages biodiversity.","Soll ein größerer Anteil der 2\,5 Billionen US-Dollar\, die in dieser Zeit an Entwicklungshilfe und Eigenmittel der Entwicklungsländer zur Verfügung stehen\, für Gesundheit\, die Umwelt\, Nahrungsmittel oder lieber Schulausbildung eingesetzt werden?"
37590,"But in China\, where farmers make up 30-35% of the labor force and 70% of the population falls into low-income categories\, government can play only a marginal role.",Ich schäme mich so vor Euch...
149,"""Derided by detractors as a new \""domino theory\","\"" this view presented intervention in Iraq as similar to Americas role in post-WWII Japan.""","""Von den Kritikern als neue \""Domino-Theorie\"" verspottet stellte diese Ansicht die Intervention in den Irak als etwas Ähnliches wie die Rolle dar\"," die Amerika nach dem Zweiten Weltkrieg in Japan eingenommen hat."""
25279,"It also drives up food prices\, which so far has pushed at least 30 million poor people into starvation\, with another 40-130 million expected to be starving by 2020.","Mit diesen Fragen im Hinterkopf bat der Copenhagen Consensus (unter meiner Leitung) einige der weltweit führenden Ökonomen\, das wirtschaftliche\, soziale und umweltpolitische Kosten-Nutzen-Verhältnis vieler unterschiedlicher Ziele einzuschätzen."
37591,"In such circumstances\, the old adage that the best social-welfare program is economic growth is all the more applicable.",Lin Zi ...Was ist der Unterschied zwischen dem China von heute und dem China von vor hundert Jahren?
12775,"The Republicans\, in effect\, face the voters with a sign that says\, “We won’t raise your taxes\, but the Democrats will.” The Democrats’ sign\, by contrast\, says\, “We won’t reduce your pension or health benefits\, but the Republicans will.”","Die Republikaner treten den Wählern faktisch mit einem Schild gegenüber\, auf dem steht: „Wir werden eure Steuern nicht erhöhen\, die Demokraten schon.“ Auf dem Schild der Demokraten hingegen steht geschrieben: „Wir werden eure Rentenleistungen und Zuschüsse zur Krankenversicherung nicht kürzen\, die Republikaner schon.“"
150,"""Against the optimism of that \""Japan scenario\","\"" pessimists argued that a \""Somalia scenario\"" was more likely.""","""Gegen den Optimismus dieses \""Japan-Szenarios\"" behaupteten die Pessimisten\"," dass ein \""Somalia-Szenario\"" wahrscheinlicher wäre."""
25280,We need a smarter approach to tackling climate change.,Unter den zu bewertenden Zielen befand sich auch das Ziel der Schulausbildung für alle.
25281,"Rather than relying on cutting a few tons of incredibly overpriced CO2 now\, we need to invest in research and development aimed at innovating down the cost of green energy in the long run\, so that everyone will switch.",Die Wichtigkeit von schulischer Ausbildung ist unumstritten.
12776,"Neither side wants any ambiguity in their message before the election\, thus ruling out the possibility of any immediate changes in tax expenditures or future Social Security pensions.","Keine Seite möchte vor den Wahlen irgendwelche Unklarheiten über ihre Botschaft aufkommen lassen\, und so wird die Möglichkeit ausgeschlossen\, umgehende Veränderungen bei den Steuervergünstigungen oder zukünftigen staatlichen Rentenleistungen vorzunehmen."
37592,"All the lessons from developing countries from the 1950’s through the 1980’s\, and recent lessons from some advanced developed countries\, tell us that over-burdening social programs with too great a focus on redistribution may cause large fiscal deficits\, debt crises\, hyper-inflation\, or financial meltdown\, with the end result being not a narrowing of disparity but an enlargement.","Tränen laufen unsere Wangen hinunter\, und ich wage es nicht\, daran zu glauben\, dass dies unser Land ist\, das China\, das mich geboren und aufgezogen hat...."
37593,China must keep these lessons in mind over the next 20-40 years.,"Ich würde eher sterben\, als so weiter zu leben."
151,"""They staked their claim on the tribal\, sectarian\, and multiethnic nature of Iraq\, which\, in the absence of dictatorship\, would supposedly incite Iraqs collapse into a \""failed state\","\"" with rampant warlordism\", ethnic and religious feuds\," and harboring of terrorist organizations.""","""Sie stützten ihre Behauptung auf die Stammes-\, Konfessions- und multiethnische Natur des Irak\, die ohne Diktatur vermutlich im Irak den Zusammenbruch in einen \""misslungenen Staat\"" mit wucherndem Kriegsherrenunwesen\"," ethnische und religiöse Fehden und Unterschlupf für terroristische Organisationen auslösen würde."""
12777,"But\, for the same reason\, I am optimistic that the stalemate will end after the election.","Aus dem gleichen Grund bin ich allerdings optimistisch\, dass es nach den Wahlen einen Ausweg aus der Sackgasse geben wird."
25282,"For now\, our current climate policies are poor – and our politicians consistently find ways to make them even poorer.","Das Problem ist\, dass die Glaubwürdigkeit der internationalen Gemeinschaft bezüglich ihrer Versprechen\, universale Ausbildung zu gewährleisten\, stark gelitten hat: Seit 1950 hat sie in mindestens zwölf durch die UN geförderten Erklärungen versprochen\, dieses Ziel zu erreichen."
37594,"Indeed\, continued growth and job creation is the only real solution for lifting hundreds of millions of Chinese out of poverty permanently.",Mein Leben gehört meinem Land.
37595,China\\u0027s Worrisome Nationalism,"Meine Heimat\, bringe die Menschen nicht dazu\, dir zu misstrauen!"
12778,"At that point\, both Republicans and Democrats will be able to accept reforms that they must reject now.","An diesem Punkt werden sowohl die Republikaner als auch die Demokraten in der Lage sein\, Reformen zu akzeptieren\, die sie heute ablehnen müssen. &#160;"
152,"But the main question now is whether Iraq will drift along lines somewhere between these two scenarios\, increasingly resembling Afghanistan.","Doch ist jetzt die Hauptfrage\, ob der Irak irgendwo zwischen diesen beiden Szenarien entlang triften wird\, um zunehmend Afghanistan ähnlicher zu werden."
25283,"They may please farmers and other interest groups\, but overall they simply drive up costs and reduce already-minimal benefits.","So versprach 1961 die UNESCO\, dass bis 1980 die Grundschulausbildung in Afrika „universal\, verpflichtend und kostenlos“ sein würde."
37596,Nationalist sentiment has been on the rise in China for a decade.,Lass uns aufwachen.
37597,"This may be hidden from President Bush when he visits China next month\, but it is there all the same.",Mutter!
25284,The Trouble with Universal Education,"Als diese Zeit dann kam\, besuchten etwa die Hälfte aller afrikanischen Kinder im Grundschulalter immer noch keine Schule."
12779,Another post-election route to deficit reduction would be to lower marginal tax rates and balance that revenue loss with cuts in tax expenditures.,"Ein anderer Weg\, nach den Wahlen das Defizit abzubauen wäre eine Senkung der Grenzsteuersätze und ein Ausgleich für diese wegfallenden Einnahmen durch eine Kürzung der Steuervergünstigungen."
153,"""This \""Afghan scenario\"" implies a weak state with nominal power over effectively autonomous fiefdoms that are headed by strongmen who are represented in the central government.""","""Dieses \""afghanische Szenario\"" beinhaltet einen schwachen Staat mit nomineller Macht über tatsächlich autonome Stammestümer\"," die von starken Männern als ihren Repräsentanten in der Staatsregierung geführt werden."""
25285,"COPENHAGEN – With the deadline for the United Nations Millennium Development Goals fast approaching\, the world is gearing up to establish a new set of goals for the next 15 years.","Wenn die Frist für die Erfüllung der Ziele erreicht wird\, werden diese einfach mit einer neuen Frist neu formuliert\, und dem Problem wird mehr Geld hinterher geworfen\, ohne wirklich zu überlegen\, wie genau es ausgegeben werden sollte."
154,"""Bad as it sounds\, this prospect appears to be a \""realistic\"" compromise between the supposedly utopian vision of a flourishing\"," unified democracy and the wretchedness of a failed state.""","""So schlecht es klingen mag\, doch scheint diese Perspektive ein \""realistischer\"" Kompromiss zwischen der vermutlich utopischen Vision einer blühenden\"," vereinigten Demokratie und der Jämmerlichkeit eines misslungenen Staates zu sein."""
